alpha,final_tax_rate, mean_tax_rate, median_tax_rate, std_tax_rate, max_tax_rate, min_tax_rate
1.000000,0.204997,0.205703,0.205715,0.007810,0.284184,0.051885
0.800000,0.098995,0.098908,0.098920,0.000158,0.099970,0.098414
0.800000,0.061543,0.062011,0.061987,0.000528,0.072413,0.060884
0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0.000000,0.001292,0.000000,0.004403,0.028296,0.000000
0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0.000000,0.003595,0.000000,0.005714,0.017591,0.000000
0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0.018206,0.013804,0.016226,0.005314,0.019135,0.000000
0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
