alpha,final_tax_rate, mean_tax_rate, median_tax_rate, std_tax_rate, max_tax_rate, min_tax_rate
1.000000,0.851275,0.854769,0.855061,0.015154,0.975368,0.693095
0.800000,0.100000,0.100000,0.100000,0.000000,0.100000,0.100000
0.800000,0.091560,0.091471,0.091407,0.000743,0.094353,0.089341
0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0.000000,0.001706,0.000000,0.005681,0.034948,0.000000
0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0.000000,0.003595,0.000000,0.005714,0.017591,0.000000
0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0.032318,0.023051,0.027080,0.009690,0.033421,0.000000
0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
